meanedge,threshold
3.919350,0.926094
3.978260,0.934687
3.496500,0.914062
3.834250,0.923516
3.945210,0.930391
3.442620,0.912344
3.868420,0.926953
3.580150,0.903750
3.848480,0.924375
3.533330,0.914062
3.962500,0.929531
3.560000,0.917500
3.608700,0.919219
3.926470,0.928672
3.787560,0.927812
3.950000,0.925234
3.516130,0.913203
3.818180,0.926094
3.646550,0.919219
3.326920,0.896875
3.516130,0.917500
3.247930,0.902031
3.654760,0.921797
3.887640,0.923516
3.405170,0.909766
3.045450,0.883789
3.450980,0.910625
3.939020,0.929531
3.838380,0.923516
3.384620,0.908906
3.503600,0.914062
3.461540,0.912344
3.217950,0.890859
3.483870,0.914062
3.163270,0.895156
3.911760,0.926953
3.931030,0.910625
3.782610,0.923516
3.836360,0.928672
3.380430,0.908047
3.780490,0.925234
3.618560,0.918359
3.025640,0.878906
3.422220,0.910625
3.365380,0.906328
3.973910,0.927812
3.636360,0.918359
3.900000,0.926094
3.152540,0.893438
3.523080,0.917500
3.565520,0.914062
3.181820,0.893438
3.120000,0.887695
3.095240,0.888672
3.633800,0.916641
3.371430,0.902891
3.653470,0.923516
3.316830,0.902031
3.623660,0.917500
3.698920,0.924375
3.347830,0.905469
3.793650,0.925234
3.348310,0.906328
3.735290,0.904609
3.566930,0.916641
3.396830,0.908047
3.608700,0.920078
3.402780,0.909766
3.369230,0.904609
3.461540,0.909766
3.569620,0.908047
3.600000,0.918359
3.780820,0.913203
3.200000,0.891719
3.756760,0.925234
3.289470,0.901172
3.809520,0.916641
3.603310,0.915781
3.795920,0.926953
3.960000,0.931250
3.238640,0.890859
3.860700,0.922656
3.722220,0.924375
3.961900,0.928672
3.794520,0.927812
3.493150,0.914062
3.328360,0.902891
3.659340,0.921797
3.310340,0.902031
3.583330,0.916641
3.800000,0.924375
3.711110,0.923516
3.169810,0.893438
3.131870,0.894297
3.950000,0.926953
3.518990,0.914062
3.666670,0.920938
3.918240,0.932109
3.930230,0.932109
3.608700,0.918359
3.238810,0.896016
3.891090,0.920938
3.400000,0.909766
3.359480,0.906328
3.220000,0.896875
3.390000,0.903750
3.719100,0.920938
3.222220,0.885742
3.781610,0.927812
3.861390,0.926953
3.394740,0.910625
3.401520,0.908906
3.536310,0.917500
3.253330,0.890859
3.172840,0.892578
3.185570,0.896875
3.909090,0.925234
3.396230,0.908047
3.181820,0.896016
3.186210,0.890859
3.662500,0.921797
3.835820,0.926094
3.407690,0.910625
3.101690,0.889648
3.095240,0.887695
3.724140,0.924375
3.344260,0.905469
3.921880,0.929531
3.471700,0.912344
3.480000,0.912344
3.300000,0.902031
3.290320,0.902031
3.706900,0.922656
3.561400,0.906328
3.956100,0.930391
3.761900,0.927812
3.986670,0.926953
3.800000,0.923516
3.349400,0.908047
3.529030,0.914062
3.981820,0.923516
3.917290,0.926953
3.875000,0.927812
3.069310,0.884766
3.358210,0.892578
3.660000,0.922656
3.423530,0.906328
3.922330,0.932969
3.307690,0.902891
3.925170,0.927812
3.797750,0.923516
3.785710,0.924375
3.657890,0.920938
3.588240,0.917500
3.947370,0.915781
3.832400,0.927812
3.578230,0.917500
3.235290,0.900313
3.353740,0.907187
3.909090,0.931250
3.094120,0.885742
3.642860,0.920078
3.619050,0.901172
3.120000,0.888672
3.281250,0.896016
3.977270,0.928672
3.937500,0.931250
3.458720,0.913203
3.368420,0.906328
3.189190,0.898594
3.659090,0.920078
3.851850,0.925234
3.783330,0.923516
3.543860,0.917500
3.987580,0.931250
3.647890,0.920938
3.203250,0.897734
3.927840,0.931250
3.715450,0.922656
3.972410,0.931250
3.937500,0.927812
3.190000,0.890625
3.584800,0.917500
3.380000,0.911484
3.684210,0.920938
3.520830,0.916641
3.228570,0.896016
3.900000,0.929531
3.205130,0.897734
3.039220,0.884766
3.223680,0.890859
3.516130,0.905469
3.805030,0.925234
3.126580,0.887695
3.750000,0.924375
3.867920,0.914062
3.500000,0.913203
3.709680,0.922656
3.315790,0.904609
3.585370,0.919219
3.090910,0.889648
3.886360,0.927812
3.458100,0.914062
3.877090,0.927812
3.705130,0.920078
3.426470,0.908906
3.954950,0.930391
3.530300,0.917500
3.823530,0.923516
3.531250,0.914062
3.951220,0.928672
3.491800,0.913203
3.407410,0.908906
3.437500,0.909766
3.530120,0.914922
3.126210,0.891719
3.478870,0.899453
3.466670,0.913203
3.750000,0.923516
3.486770,0.914922
3.578950,0.917500
3.325580,0.903750
3.421050,0.908906
3.142860,0.892578
3.661020,0.920938
3.357140,0.906328
3.327270,0.901172
3.535710,0.906328
3.328950,0.906328
3.571430,0.914922
3.536590,0.911484
3.958900,0.931250
3.792450,0.926094
3.700000,0.921797
3.690480,0.922656
3.740380,0.922656
3.695650,0.916641
3.364860,0.908047
3.048780,0.884766
3.752940,0.923516
3.800000,0.926953
3.593220,0.918359
3.612900,0.920938
3.656570,0.922656
3.709680,0.907187
3.767440,0.926094
3.865670,0.929531
3.303570,0.904609
3.750000,0.926094
3.859260,0.926953
3.435900,0.912344
3.480000,0.899453
3.811970,0.926953
3.456520,0.910625
3.188680,0.896016
3.428570,0.909766
3.571430,0.917500
3.457890,0.914062
3.529410,0.916641
3.340000,0.896016
3.691360,0.920938
3.333330,0.898594
3.814810,0.926953
3.328770,0.906328
3.537140,0.914062
3.407730,0.908047
3.684930,0.920938
3.482760,0.902891
3.352940,0.908047
3.948280,0.916641
3.488890,0.913203
3.180180,0.894297
3.347220,0.909766
3.852630,0.926953
3.019800,0.880859
3.744680,0.924375
3.795920,0.922656
3.391890,0.910625
3.897440,0.927812
3.280000,0.902031
3.969700,0.928672
3.750000,0.926094
3.187500,0.896875
3.326240,0.903750
3.865980,0.931250
3.446810,0.912344
3.258060,0.892578
3.228570,0.897734
3.857140,0.913203
3.992000,0.932109
3.384620,0.905469
3.875000,0.923516
3.830770,0.925234
3.320510,0.904609
3.112680,0.890859
3.202530,0.896016
3.590910,0.914062
3.857140,0.928672
3.593020,0.913203
3.546670,0.916641
3.969700,0.932969
3.441180,0.905469
3.810810,0.926953
3.818180,0.926094
3.382720,0.910625
3.225000,0.896016
3.664710,0.922656
3.675680,0.920938
3.735850,0.920078
3.512200,0.913203
3.289470,0.901172
3.538460,0.915781
3.447920,0.911484
3.812500,0.925234
3.517240,0.914062
3.847060,0.927812
3.616440,0.919219
3.516850,0.910625
3.033330,0.881836
3.535140,0.916641
3.660190,0.921797
3.060610,0.885742
3.247790,0.898594
3.402300,0.907187
3.280000,0.899453
3.830510,0.925234
3.258060,0.901172
3.941180,0.912344
3.881820,0.926094
3.198350,0.892578
3.945450,0.929531
3.932430,0.929531
3.282610,0.890859
3.771430,0.923516
3.263160,0.900313
3.974360,0.932109
3.287360,0.902891
3.894740,0.924375
3.886960,0.926953
3.144580,0.892578
3.292130,0.895156
3.666670,0.920078
3.292450,0.902031
3.420450,0.908906
3.437500,0.913203
3.594060,0.916641
3.967210,0.929531
3.613640,0.917500
3.159090,0.894297
3.365380,0.908047
3.192980,0.896875
3.564100,0.918359
3.955560,0.929531
3.882350,0.925234
3.783780,0.924375
3.181820,0.894297
3.293480,0.886719
3.852460,0.926094
3.765960,0.925234
3.234780,0.897734
3.160490,0.888672
3.752530,0.923516
3.960000,0.930391
3.944440,0.926953
3.420000,0.896875
3.057140,0.881836
3.704230,0.923516
3.731340,0.920078
3.848210,0.930391
3.264960,0.899453
3.071430,0.885742
3.400000,0.898594
3.230770,0.898594
3.526670,0.914922
3.596150,0.917500
3.522390,0.914922
3.586210,0.919219
3.208330,0.891719
3.171720,0.896016
3.978260,0.932109
3.986580,0.932969
3.449610,0.912344
3.531910,0.914062
3.692910,0.926094
3.142860,0.893438
3.722770,0.922656
3.504950,0.902891
3.142860,0.890859
3.691360,0.916641
3.060980,0.883789
3.865280,0.926953
